Friend,Start date,End date,Start time,End time,Duration
306,1/30/18,1/31/18,0:00,0:00,24:00:00
307,1/30/18,1/31/18,0:00,0:00,24:00:00
308,1/31/18,2/1/18,0:00,0:00,24:00:00
309,2/1/18,2/2/18,0:00,0:00,24:00:00
310,2/1/18,2/2/18,0:00,0:00,24:00:00
311,2/1/18,2/2/18,0:00,0:00,24:00:00
312,2/2/18,2/3/18,0:00,0:00,24:00:00
313,2/2/18,2/3/18,0:00,0:00,24:00:00
314,2/2/18,2/3/18,0:00,0:00,24:00:00
315,2/4/18,2/5/18,0:00,0:00,24:00:00
316,2/6/18,2/7/18,0:00,0:00,24:00:00
317,2/6/18,2/7/18,0:00,0:00,24:00:00
318,2/7/18,2/8/18,0:00,0:00,24:00:00
319,2/7/18,2/8/18,0:00,0:00,24:00:00
320,2/8/18,2/9/18,0:00,0:00,24:00:00
321,2/8/18,2/9/18,0:00,0:00,24:00:00
322,2/8/18,2/9/18,0:00,0:00,24:00:00
323,2/9/18,2/10/18,0:00,0:00,24:00:00
324,2/9/18,2/10/18,0:00,0:00,24:00:00
325,2/9/18,2/10/18,0:00,0:00,24:00:00
326,2/9/18,2/10/18,0:00,0:00,24:00:00
327,2/10/18,2/11/18,0:00,0:00,24:00:00
328,2/11/18,2/12/18,0:00,0:00,24:00:00
329,2/11/18,2/12/18,0:00,0:00,24:00:00
330,2/14/18,2/15/18,0:00,0:00,24:00:00
331,2/14/18,2/15/18,0:00,0:00,24:00:00
332,2/15/18,2/16/18,0:00,0:00,24:00:00
333,2/15/18,2/16/18,0:00,0:00,24:00:00
334,2/16/18,2/17/18,0:00,0:00,24:00:00
335,2/18/18,2/19/18,0:00,0:00,24:00:00
336,2/19/18,2/20/18,0:00,0:00,24:00:00
337,2/19/18,2/20/18,0:00,0:00,24:00:00
338,2/20/18,2/21/18,0:00,0:00,24:00:00
339,2/20/18,2/21/18,0:00,0:00,24:00:00
340,2/21/18,2/22/18,0:00,0:00,24:00:00
341,2/21/18,2/22/18,0:00,0:00,24:00:00
342,2/22/18,2/23/18,0:00,0:00,24:00:00
343,2/22/18,2/23/18,0:00,0:00,24:00:00
344,2/22/18,2/23/18,0:00,0:00,24:00:00
345,2/22/18,2/23/18,0:00,0:00,24:00:00
346,2/22/18,2/23/18,0:00,0:00,24:00:00
347,2/23/18,2/24/18,0:00,0:00,24:00:00
348,2/24/18,2/25/18,0:00,0:00,24:00:00
349,2/25/18,2/26/18,0:00,0:00,24:00:00
350,2/25/18,2/26/18,0:00,0:00,24:00:00
351,2/25/18,2/26/18,0:00,0:00,24:00:00
352,2/26/18,2/27/18,0:00,0:00,24:00:00
353,2/27/18,2/28/18,0:00,0:00,24:00:00
354,2/27/18,2/28/18,0:00,0:00,24:00:00
355,2/28/18,3/1/18,0:00,0:00,24:00:00
356,2/28/18,3/1/18,0:00,0:00,24:00:00
357,3/1/18,3/2/18,0:00,0:00,24:00:00
358,3/2/18,3/3/18,0:00,0:00,24:00:00
359,3/3/18,3/4/18,0:00,0:00,24:00:00
360,3/4/18,3/5/18,0:00,0:00,24:00:00
361,3/5/18,3/6/18,0:00,0:00,24:00:00
362,3/5/18,3/6/18,0:00,0:00,24:00:00
363,3/6/18,3/7/18,0:00,0:00,24:00:00
364,3/7/18,3/8/18,0:00,0:00,24:00:00
365,3/8/18,3/9/18,0:00,0:00,24:00:00
366,3/8/18,3/9/18,0:00,0:00,24:00:00
367,3/10/18,3/11/18,0:00,0:00,24:00:00
368,3/10/18,3/11/18,0:00,0:00,24:00:00
369,3/10/18,3/11/18,0:00,0:00,24:00:00
370,3/10/18,3/11/18,0:00,0:00,24:00:00
371,3/11/18,3/12/18,0:00,0:00,24:00:00
372,3/12/18,3/13/18,0:00,0:00,24:00:00
373,3/13/18,3/14/18,0:00,0:00,24:00:00
374,3/14/18,3/15/18,0:00,0:00,24:00:00
375,3/14/18,3/15/18,0:00,0:00,24:00:00
376,3/15/18,3/16/18,0:00,0:00,24:00:00
377,3/15/18,3/16/18,0:00,0:00,24:00:00
378,3/16/18,3/17/18,0:00,0:00,24:00:00
379,3/16/18,3/17/18,0:00,0:00,24:00:00
380,3/16/18,3/17/18,0:00,0:00,24:00:00
381,3/17/18,3/18/18,0:00,0:00,24:00:00
382,3/18/18,3/19/18,0:00,0:00,24:00:00
383,3/19/18,3/20/18,0:00,0:00,24:00:00
384,3/19/18,3/20/18,0:00,0:00,24:00:00
385,3/20/18,3/21/18,0:00,0:00,24:00:00
386,3/20/18,3/21/18,0:00,0:00,24:00:00
387,3/20/18,3/21/18,0:00,0:00,24:00:00
388,3/22/18,3/23/18,0:00,0:00,24:00:00
389,3/23/18,3/24/18,0:00,0:00,24:00:00
390,3/24/18,3/25/18,0:00,0:00,24:00:00
391,3/24/18,3/25/18,0:00,0:00,24:00:00
392,3/25/18,3/26/18,0:00,0:00,24:00:00
393,3/25/18,3/26/18,0:00,0:00,24:00:00
394,3/27/18,3/28/18,0:00,0:00,24:00:00
395,3/27/18,3/28/18,0:00,0:00,24:00:00
396,3/27/18,3/28/18,0:00,0:00,24:00:00
397,3/27/18,3/28/18,0:00,0:00,24:00:00
398,3/27/18,3/28/18,0:00,0:00,24:00:00
399,3/28/18,3/29/18,0:00,0:00,24:00:00
400,3/28/18,3/29/18,0:00,0:00,24:00:00
